step,x1_real,x2_real,u_real,x1_ref
122,2.1342337,3.3381586,2.5498328,2.0
123,2.2699778,3.480611,2.521298,2.0
124,2.2480514,3.7323043,2.5061333,2.0
125,2.3060582,3.5791013,2.5361958,2.0
126,2.199335,3.3948977,2.507201,2.0
127,2.2950346,3.2998548,2.5074644,2.0
128,2.2234418,3.4549947,2.4871168,2.0
129,2.2439952,3.3840847,2.5000198,2.0
130,2.2807033,3.4571714,2.497079,2.0
131,2.2487073,3.388898,2.485473,2.0
132,2.2661757,3.4645069,2.4848883,2.0
133,2.351609,3.539843,2.4808676,2.0
134,2.1720855,3.452321,2.4645908,2.0
135,2.2589312,3.3631785,2.4894476,2.0
136,2.2813864,3.4089165,2.443333,2.0
137,2.2595298,3.489389,2.4314842,2.0
138,2.2723222,3.2938652,2.4493172,2.0
139,2.1552546,3.3772469,2.4624686,2.0
140,2.1871963,3.3209844,2.4400764,2.0
141,2.2102313,3.218531,2.4112,2.0
142,2.2164795,3.3707118,2.4189215,2.0
143,2.1911178,3.3918126,2.3830147,2.0
144,2.1681237,3.1315618,2.4132502,2.0
145,2.14091,3.1138415,2.3698993,2.0
146,2.0155506,3.1537955,2.3375359,2.0
147,2.167865,3.1432688,2.3454351,2.0
148,2.0564265,3.1312745,2.2843902,2.0
149,2.0771413,3.072194,2.2929015,2.0
150,2.0773466,3.10292,2.2721481,2.0
151,2.1004786,3.1049867,2.258272,2.0
152,2.162505,3.2336597,2.2310376,2.0
153,2.1149428,3.02611,2.2142227,2.0
154,2.0980914,3.0415595,2.2148452,2.0
155,1.9556091,3.1529448,2.2063043,2.0
156,1.9204727,2.9447415,2.1897,2.0
157,1.9658823,3.0778897,2.132384,2.0
158,1.9367414,2.900591,2.1270258,2.0
159,1.9242162,3.037093,2.148012,2.0
160,1.9422754,2.7688835,2.108174,2.0
161,1.9409164,2.9102223,2.1151812,2.0
162,1.9684627,3.085479,2.12578,2.0
163,1.9173869,2.9661467,2.0410905,2.0
164,1.9743003,2.9110255,2.0655131,2.0
165,1.8882251,3.0053804,2.0639493,2.0
166,1.9149286,2.7068903,2.0675845,2.0
167,1.9930815,2.7933187,2.0031426,2.0
168,1.9168502,2.583695,2.039339,2.0
169,1.814176,2.694055,2.0167284,2.0
170,1.7610639,2.8352923,2.0026228,2.0
171,1.850545,2.6464677,2.0053067,2.0
172,1.8095019,2.7608309,2.0023541,2.0
173,1.7535331,2.8684473,1.9835783,2.0
174,1.8196355,2.7662995,1.9738585,2.0
175,1.8326894,2.6882148,1.9896587,2.0
176,1.7863752,2.7902617,1.9623809,2.0
177,1.8772204,2.53268,2.0051143,2.0
178,1.8850294,2.7050986,1.9664075,2.0
179,1.8213077,2.5178063,2.0155075,2.0
180,1.899165,2.607641,2.0318415,1.996146530673345
181,1.8393162,2.7447662,2.056276,1.9950295212291127
182,1.9099909,2.874572,2.0827343,1.9935897627983874
183,1.9798537,2.8365018,2.0423083,1.9917346889641865
184,1.8795148,2.9780395,2.063175,1.9893456399497778
185,1.8848282,2.8422947,2.0625393,1.9862708076033948
186,1.8364635,2.7894833,2.0624473,1.9823164713815506
187,1.8453219,2.621281,2.0941536,1.9772362445412965
188,1.9173688,2.8929455,2.130863,1.9707180993678122
189,1.9515299,2.6542869,2.1093347,1.962369078114516
190,1.8458306,2.8340542,2.1670377,1.9516978829915776
191,1.9343836,2.9171858,2.1516905,1.9380960613167102
192,1.9893333,2.9153621,2.1509473,1.9208193760235184
193,1.8991951,2.8203857,2.180447,1.8989723078630862
194,1.9599317,2.90443,2.1611886,1.8715005778382128
195,1.9279735,2.859144,2.157188,1.8371990860901888
196,1.9911324,2.763452,2.1341844,1.7947454099998499
197,1.9126815,2.75673,2.0505366,1.742771087559428
198,1.7737811,2.7765677,2.0316615,1.6799825783393612
199,1.8001086,2.7749097,1.9511163,1.605338418653321
200,1.7699109,2.6818557,1.8192338,1.5182759122330665
201,1.6189172,2.6860607,1.6955473,1.4189588689292978
202,1.7118596,2.3182917,1.5513746,1.3084916444237056
203,1.5112933,2.251681,1.3825853,1.1890256586838301
204,1.3866566,1.8550221,1.2264132,1.0636891856004471
205,1.2284384,1.826226,1.0709603,0.9363108143995524
206,1.0978084,1.6339244,0.9169632,0.8109743413161699
207,0.87066686,1.4254614,0.7751056,0.6915083555762942
208,0.7926464,1.256528,0.6371909,0.5810411310707015
209,0.6620563,0.88923687,0.5329323,0.48172408776693376
210,0.5417741,0.86951953,0.41870517,0.3946615813466787
