step,x1_real,x2_real,u_real,x1_ref
122,2.03977,3.4545145,2.5170057,2.0
123,2.1186838,3.4832342,2.5171003,2.0
124,2.2601442,3.5360203,2.3904815,2.0
125,2.272104,3.2928977,2.4359763,2.0
126,2.261773,3.1712606,2.49799,2.0
127,2.2520092,3.3373337,2.362978,2.0
128,2.212009,3.156753,2.4089086,2.0
129,2.1544163,3.3468087,2.3949213,2.0
130,2.1014323,3.1682322,2.3727472,2.0
131,2.1406953,3.3592575,2.4100802,2.0
132,2.3143582,3.2849562,2.2705019,2.0
133,2.0812645,3.241048,2.315942,2.0
134,2.035019,3.1610606,2.2800016,2.0
135,2.0257373,3.1282914,2.247686,2.0
136,2.0515563,2.8502238,2.2001474,2.0
137,1.9470791,2.9527452,2.2432072,2.0
138,2.0511672,3.2222562,2.2262366,2.0
139,1.9960506,3.1238358,2.1705265,2.0
140,1.9185872,2.91446,2.1115875,2.0
141,1.933932,2.8559475,2.1323612,2.0
142,1.9468693,2.9242463,2.121236,2.0
143,1.9028177,2.7859995,2.0231602,2.0
144,1.8883862,2.642388,2.0385668,2.0
145,1.866932,2.8278139,1.907797,2.0
146,1.8414826,2.6321445,1.9020188,2.0
147,1.8025184,2.6322322,2.0453646,2.0
148,1.7947146,2.8844323,1.8971212,2.0
149,1.759902,2.535239,1.853542,2.0
150,1.7006862,2.6103399,1.8752618,2.0
151,1.6682965,2.5969865,1.8360813,2.0
152,1.6102728,2.5104952,1.8924472,2.0
153,1.7183738,2.5095441,1.7642217,2.0
154,1.5823267,2.3396509,1.74103,2.0
155,1.5893658,2.3716092,1.8544142,2.0
156,1.6361071,2.4702241,1.7722616,2.0
157,1.7251396,2.4416978,1.7516575,2.0
158,1.6150311,2.401797,1.6894962,2.0
159,1.5530145,2.3320925,1.6174077,2.0
160,1.4650756,2.2753363,1.729284,2.0
161,1.5769268,2.308207,1.7356347,2.0
162,1.6374953,2.3869221,1.6483512,2.0
163,1.6254413,2.4758658,1.623139,2.0
164,1.5340054,2.0444896,1.611822,2.0
165,1.4963707,2.0375638,1.5862896,2.0
166,1.4001741,2.1296465,1.5039372,2.0
167,1.3911043,2.0978289,1.5587105,2.0
168,1.405865,2.103897,1.6767874,2.0
169,1.3914317,2.1372046,1.6052681,2.0
