step,x1_real,x2_real,u_real,x1_ref
121,1.6716292,2.6268585,2.393623,2.0
122,1.8689767,3.1094952,2.3253243,2.0
123,2.171136,3.1558435,2.2774758,2.0
124,2.115692,3.23892,2.2638793,2.0
125,2.1635687,3.2566695,2.2621956,2.0
126,2.137812,3.0461597,2.2623377,2.0
127,2.0574734,2.9320335,2.2784765,2.0
128,2.076219,3.0356426,2.191304,2.0
129,1.9797584,2.9856308,2.2469566,2.0
130,1.9569771,3.1593297,2.235956,2.0
131,1.9928071,2.9895208,2.1857061,2.0
132,1.9301549,3.2583215,2.187455,2.0
133,1.9958566,3.1280375,2.1116586,2.0
134,1.9608486,2.9461062,2.1222754,2.0
135,1.8325988,2.8961122,2.1716154,2.0
136,1.9139215,2.7150085,2.1163933,2.0
137,1.9123054,2.8827446,2.1156042,2.0
138,1.8690442,2.751938,2.0344722,2.0
139,1.8911062,2.7529056,2.0426836,2.0
140,1.7984358,2.9123492,1.9918517,2.0
141,1.7744335,2.7596245,1.9936814,2.0
142,1.8756005,2.6088316,2.0290701,2.0
143,1.8592497,2.7937562,2.0095735,2.0
144,1.8340685,2.7274113,1.9857869,2.0
145,1.7596798,2.4926324,1.8718345,2.0
146,1.6914988,2.6795325,1.9185529,2.0
147,1.6687418,2.7167428,1.9229052,2.0
148,1.6707214,2.6172435,1.8424404,2.0
149,1.6846225,2.5324664,1.8811114,2.0
150,1.6749698,2.7480955,1.9014024,2.0
151,1.80002,2.5929904,1.7805182,2.0
152,1.6547873,2.3929396,1.7567543,2.0
153,1.6799349,2.4720206,1.7875878,2.0
154,1.608639,2.5741725,1.7534254,2.0
155,1.50085,2.5061066,1.6807959,2.0
156,1.5634847,2.2230003,1.6895194,2.0
157,1.5921967,2.459439,1.7624338,2.0
158,1.548709,2.361455,1.5993855,2.0
159,1.4579648,2.178465,1.6078018,2.0
160,1.374635,2.2129824,1.5781437,2.0
161,1.3261411,2.1385188,1.6051099,2.0
162,1.381271,2.309248,1.6002092,2.0
163,1.3791802,2.217248,1.5210712,2.0
164,1.4094328,1.9960511,1.6384177,2.0
165,1.3650047,2.1596673,1.5371729,2.0
166,1.4718624,2.2633834,1.5196254,2.0
167,1.4414692,2.2052693,1.4411865,2.0
168,1.4052418,2.0944588,1.3644811,2.0
169,1.2304517,1.9561733,1.6056904,2.0
170,1.3508897,2.01255,1.4176799,2.0
171,1.3172185,1.8772503,1.5511128,2.0
172,1.3643047,2.0570087,1.4881923,2.0
173,1.4237342,2.0386941,1.5286667,2.0
174,1.4320687,1.8821728,1.5457704,2.0
175,1.5366418,2.1280804,1.5555227,2.0
176,1.4438326,1.9550785,1.4167997,2.0
177,1.363641,1.802284,1.5793012,2.0
178,1.3818269,2.1242628,1.5644772,2.0
179,1.4171793,2.0335584,1.538298,2.0
180,1.423997,1.9946415,1.509545,1.996146530673345
181,1.4202985,2.1035569,1.4997388,1.9950295212291127
182,1.3472291,1.9551345,1.4575744,1.9935897627983874
183,1.3005754,1.7195157,1.69835,1.9917346889641865
184,1.3407692,2.2815204,1.616707,1.9893456399497778
185,1.4647388,2.1548183,1.6561903,1.9862708076033948
186,1.5151386,2.2582812,1.5838107,1.9823164713815506
187,1.506915,2.3523767,1.6800249,1.9772362445412965
188,1.512066,2.3052585,1.7255222,1.9707180993678122
189,1.5393515,2.4211442,1.6512532,1.962369078114516
190,1.4159862,2.324617,1.781884,1.9516978829915776
191,1.5931689,2.3616598,1.8406368,1.9380960613167102
192,1.7381835,2.4375584,1.7050455,1.9208193760235184
193,1.7168493,2.4614677,1.7915413,1.8989723078630862
194,1.7216976,2.285158,1.8544276,1.8715005778382128
195,1.6611568,2.6073391,1.8344749,1.8371990860901888
196,1.6656646,2.3701806,1.9149718,1.7947454099998499
197,1.6511768,2.5227475,1.8224043,1.742771087559428
198,1.7074028,2.5020735,1.8378745,1.6799825783393612
199,1.7420362,2.4106517,1.7335109,1.605338418653321
200,1.6760529,2.1462154,1.6624068,1.5182759122330665
201,1.6379765,2.1864693,1.5763321,1.4189588689292978
202,1.5381464,2.2398448,1.4823593,1.3084916444237056
203,1.3655505,2.2081356,1.3376104,1.1890256586838301
204,1.2449539,1.848511,1.1629263,1.0636891856004471
205,1.1951805,1.5405847,1.0103477,0.9363108143995524
206,0.9630134,1.5106835,0.8847625,0.8109743413161699
207,0.90438837,1.2082977,0.7272881,0.6915083555762942
208,0.7734749,1.0945262,0.61762315,0.5810411310707015
209,0.68631154,0.8431918,0.49513,0.48172408776693376
210,0.62433004,0.6933837,0.41070452,0.3946615813466787
211,0.5747381,0.6086282,0.31793937,0.3200174216606384
212,0.48909995,0.38809317,0.22907199,0.257228912440572
213,0.31822607,0.50038904,0.19810821,0.20525459000015012
214,0.24677819,0.39591494,0.14518419,0.16280091390981122
215,0.19791293,0.26716053,0.11287883,0.128499422161787
216,0.20268357,0.12111005,0.08517622,0.10102769213691354
217,0.122340865,0.12125735,0.06049294,0.07918062397648162
218,0.04813624,0.07953612,0.043070607,0.061903938683289805
219,0.078476354,0.16351867,0.049595647,0.04830211700842235
220,-0.0047491775,-0.0070635267,0.03661668,0.03763092188548378
221,0.00950054,0.14354748,0.016774636,0.02928190063218783
222,-0.002841063,0.11928964,0.019794637,0.02276375545870324
223,0.110402696,0.04022637,-0.0029971173,0.01768352861844935
224,0.037333667,-0.059338786,-0.031150358,0.013729192396604972
225,-0.026866708,-0.09328175,0.0054534646,0.010654360050222245
226,0.019355016,0.03713888,0.021508403,0.008265311035813516
227,-0.01702923,0.081719644,0.01082496,0.006410237201612601
228,0.0708621,0.0057190536,-0.0118041085,0.004970478770887299
229,0.035502676,0.038387027,-0.03180734,0.003853469326654979
230,0.047630675,-0.15384114,0.008589928,0.0
231,-0.05849613,-0.19206516,-0.013856817,0.0
232,-0.039444134,0.19652806,-0.009523146,0.0
233,0.080198295,0.059773806,-0.008334343,0.0
234,0.024031522,0.10002137,-0.017691543,0.0
235,0.09856245,0.009531707,-0.031890534,0.0
236,0.047748763,0.010106494,-0.018233955,0.0
237,0.01134999,-0.028647617,-0.0024934243,0.0
238,0.03173523,0.13933562,-0.012237826,0.0
239,0.08083585,0.28611687,-0.009722584,0.0
240,0.054160967,-0.023687573,-0.039590716,0.0
241,-0.017602408,-0.07006793,-0.013446898,0.0
242,-0.030045621,-0.116151206,-0.019843176,0.0
243,-0.101916514,-0.081726864,-0.0077707246,0.0
244,-0.05230281,-0.12295333,-0.008669236,0.0
245,-0.024504052,-0.0417747,-0.014695678,0.0
246,-0.05864782,0.009699855,-0.007590761,0.0
247,0.00016841284,0.12535134,-0.01675225,0.0
248,0.0029102254,0.22928295,0.01272237,0.0
249,0.091476776,0.12383961,0.03086213,0.0
250,0.040075753,0.1770219,0.087863676,0.0
251,0.13467133,0.20171899,0.26817432,0.126847839313129
252,0.22273564,0.39694005,0.36897612,0.25318490714749853
253,0.26036364,0.39161253,0.50020015,0.37850248872082043
254,0.3058113,0.5793127,0.60794675,0.5022959743621584
255,0.51019245,0.71918166,0.6836665,0.6240668913969742
256,0.59113365,0.9546208,0.7865115,0.7433249113206551
