step,x1_real,x2_real,u_real,x1_ref
122,2.0243635,3.2562845,2.5714056,2.0
123,2.2302911,3.5949163,2.5135162,2.0
124,2.3167028,3.514232,2.5338933,2.0
125,2.37434,3.5480313,2.4132593,2.0
126,2.276347,3.2963235,2.401128,2.0
127,2.09642,3.1060507,2.431125,2.0
128,2.0501266,3.476484,2.3385553,2.0
129,2.1218913,3.3017585,2.382311,2.0
130,2.1688437,3.209731,2.3735573,2.0
131,2.2144108,3.2627566,2.3996913,2.0
132,2.2565334,3.263623,2.4821115,2.0
133,2.2172587,3.4413154,2.3350174,2.0
134,2.1570084,3.181454,2.3284135,2.0
135,2.042553,3.1815913,2.2909725,2.0
136,2.0921052,3.3410363,2.3115237,2.0
137,2.1377344,3.1740656,2.2888312,2.0
138,2.1139035,3.2498832,2.1488273,2.0
139,2.034052,3.0492094,2.2592063,2.0
140,2.0699453,3.0547,2.1345744,2.0
141,2.1396763,2.905173,2.1352518,2.0
142,1.9826725,2.7531931,2.1362565,2.0
143,1.8723713,2.7935567,2.0820308,2.0
144,1.9055077,2.8040044,1.9960543,2.0
145,1.8255605,2.6712184,1.9203824,2.0
146,1.7974745,2.7058122,2.052344,2.0
147,1.7370865,2.6740181,2.0611675,2.0
148,1.7976747,2.6640282,2.0023825,2.0
149,1.813509,2.7521894,1.9163628,2.0
150,1.827907,2.6216373,1.8952152,2.0
151,1.7600706,2.6126246,1.9622667,2.0
152,1.8560854,2.597856,1.84361,2.0
153,1.7918569,2.4709182,1.7662321,2.0
154,1.6744633,2.4587715,1.7238603,2.0
155,1.739435,2.2417727,1.8534017,2.0
156,1.7578589,2.480559,1.7728574,2.0
157,1.6889815,2.348776,1.904586,2.0
158,1.668689,2.5754473,1.7478449,2.0
159,1.5544354,2.3399184,1.7328297,2.0
160,1.5533557,2.2998629,1.6690221,2.0
161,1.5449847,2.2799773,1.6393509,2.0
162,1.4467672,2.290729,1.5496529,2.0
163,1.436395,2.0782595,1.620786,2.0
164,1.380412,2.0328538,1.6527998,2.0
165,1.3951787,2.1073756,1.5858667,2.0
166,1.3974687,2.1608992,1.6883192,2.0
167,1.6472204,2.3269649,1.4847633,2.0
168,1.4219937,2.2360325,1.3833333,2.0
169,1.2740624,2.046922,1.595726,2.0
170,1.3357289,2.2103717,1.5471107,2.0
171,1.3826722,2.0971344,1.4324914,2.0
172,1.316097,1.9373441,1.4193078,2.0
173,1.3892939,1.9046525,1.5047848,2.0
174,1.2924403,2.0470343,1.5943152,2.0
175,1.369047,2.1396449,1.6089982,2.0
176,1.4835151,2.3718443,1.4946066,2.0
177,1.4243215,2.1107078,1.4428452,2.0
178,1.3129997,1.9471688,1.5261313,2.0
179,1.4233587,2.242145,1.5720085,2.0
180,1.5029236,2.224973,1.5619453,1.996146530673345
181,1.3988215,2.2020211,1.4960244,1.9950295212291127
182,1.3984203,1.978093,1.5724027,1.9935897627983874
183,1.4321355,1.936328,1.5617884,1.9917346889641865
184,1.4783196,2.029749,1.6249886,1.9893456399497778
185,1.4848729,2.2952173,1.6816627,1.9862708076033948
186,1.5043291,2.192886,1.6178666,1.9823164713815506
187,1.4806001,2.3513172,1.6286842,1.9772362445412965
188,1.4892087,2.407464,1.8377843,1.9707180993678122
189,1.5994831,2.5434358,1.8956207,1.962369078114516
190,1.6992493,2.4225423,1.8498752,1.9516978829915776
191,1.7220911,2.5609684,1.7870117,1.9380960613167102
192,1.6420262,2.5201085,1.8600615,1.9208193760235184
193,1.6742777,2.5441291,1.8139627,1.8989723078630862
194,1.6994553,2.53604,1.980025,1.8715005778382128
195,1.8273823,2.6779873,2.0387464,1.8371990860901888
196,1.8247381,2.7537115,2.033355,1.7947454099998499
197,1.8391501,2.732944,2.05469,1.742771087559428
198,1.8177252,2.850259,2.0549314,1.6799825783393612
199,1.8624667,2.807331,2.04445,1.605338418653321
200,1.8060036,2.9161859,2.0454004,1.5182759122330665
201,1.7869213,2.710372,1.9335709,1.4189588689292978
202,1.8617023,2.4448216,1.7497895,1.3084916444237056
203,1.6712447,2.2170568,1.5802269,1.1890256586838301
204,1.5259774,2.2606606,1.4380664,1.0636891856004471
205,1.3427444,1.9766499,1.2384696,0.9363108143995524
206,1.1928824,1.6846532,1.067559,0.8109743413161699
207,1.0725876,1.3593239,0.884179,0.6915083555762942
208,0.8981519,1.4078358,0.75182074,0.5810411310707015
209,0.8913455,1.0972829,0.60518867,0.48172408776693376
210,0.62396157,1.0811023,0.48694104,0.3946615813466787
211,0.5848842,0.78643125,0.38178283,0.3200174216606384
212,0.51328576,0.72388726,0.32030877,0.257228912440572
213,0.50726146,0.55797756,0.2586493,0.20525459000015012
214,0.38738582,0.306051,0.1647126,0.16280091390981122
215,0.21940492,0.2594541,0.14408085,0.128499422161787
216,0.1676138,0.30942246,0.112409055,0.10102769213691354
217,0.089102566,0.16492228,0.0811151,0.07918062397648162
218,0.12458967,0.028480811,0.06504649,0.061903938683289805
219,0.06572491,0.08988941,0.058383103,0.04830211700842235
220,0.086341456,-0.016424045,0.05925722,0.03763092188548378
221,0.056433227,0.07985406,0.018611284,0.02928190063218783
222,0.07767338,0.024420876,0.0067216665,0.02276375545870324
223,0.0072002066,0.14290003,0.012396989,0.01768352861844935
224,-0.041125916,-0.0970525,0.007187606,0.013729192396604972
225,-0.037549883,0.027763162,0.017690398,0.010654360050222245
226,-0.097325414,0.14518617,-0.008167614,0.008265311035813516
227,0.044990756,0.12714782,-0.020799635,0.006410237201612601
228,-0.01699559,-0.030575247,0.001747297,0.004970478770887299
229,-0.008705805,0.1165315,-0.0068275332,0.003853469326654979
230,-0.05534672,-0.09614111,-0.019013893,0.0
231,-0.03625715,-0.204642,-0.015825469,0.0
232,-0.12392659,0.08444544,0.0026229543,0.0
233,-0.008576239,0.0026095994,-0.0021790736,0.0
234,-0.047841042,0.031446002,-0.02067236,0.0
235,0.03685872,0.039266177,-0.019289736,0.0
236,-0.011034942,0.21528505,-0.008104475,0.0
