step,x1_real,x2_real,u_real,x1_ref
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,-0.01487479,0.0
11,0.081711136,-0.029606499,-0.0053384188,0.0
12,-0.0814038,-0.09521856,-0.026231652,0.0
13,-0.026579536,-0.10496835,-0.0070264325,0.0
14,-0.096872695,0.26606825,-0.00562634,0.0
15,-0.023529155,0.2080799,-0.022890572,0.0
16,-0.02655911,-0.026553668,-0.0307575,0.0
17,-0.08849441,0.02336497,-0.023123387,0.0
18,0.04111565,-0.1261829,-0.008776496,0.0
19,-0.034183282,-0.030100599,-0.024713896,0.0
20,-0.05717993,0.012096293,-0.0145024555,0.0
21,-0.03493538,0.0013649572,-0.007921026,0.0
22,0.0053225425,-0.0006117889,-0.013872716,0.0
23,-0.040399693,0.12645017,-0.012715802,0.0
24,0.08596958,-0.052680753,-0.026979167,0.0
25,0.04038815,-0.057883173,-0.02377101,0.0
26,-0.0078699,0.05986269,-0.014643565,0.0
27,-0.026771715,-0.15246654,0.036656626,0.0
28,-0.07908606,-0.06849314,-0.013402324,0.0
29,-0.095358804,0.14217022,-0.8899875,0.0
30,-0.45036703,-0.8848958,-3.1507504,-2.0
31,-1.800911,-3.429099,-3.0841103,-2.0
32,-2.3658948,-3.925068,-2.9365501,-2.0
33,-2.5673947,-3.9319909,-2.8756187,-2.0
34,-2.5835779,-3.835131,-2.859382,-2.0
35,-2.5991592,-3.7820268,-2.8595574,-2.0
36,-2.5489578,-3.8661165,-2.858159,-2.0
37,-2.4731421,-3.8268533,-2.8341618,-2.0
38,-2.571822,-3.8193262,-2.8633032,-2.0
39,-2.5793948,-3.7274685,-2.836095,-2.0
40,-2.6173577,-3.8832936,-2.8577058,-2.0
41,-2.6047473,-3.9199638,-2.837947,-2.0
42,-2.7286959,-3.7509358,-2.8210998,-2.0
43,-2.5470667,-3.8110433,-2.8278081,-2.0
44,-2.5743546,-3.8498561,-2.8002708,-2.0
45,-2.5898762,-3.8229105,-2.7916963,-2.0
46,-2.5804038,-3.813415,-2.762986,-2.0
47,-2.5556562,-3.6876836,-2.7655404,-2.0
48,-2.659362,-3.7993417,-2.7269142,-2.0
49,-2.4524863,-3.7149785,-2.7268333,-2.0
50,-2.54127,-3.6931267,-2.7056475,-2.0
51,-2.5273476,-3.5621724,-2.6794298,-2.0
52,-2.4533417,-3.5082908,-2.6681504,-2.0
53,-2.4386635,-3.6277122,-2.6372328,-2.0
54,-2.4274156,-3.4950128,-2.6418386,-2.0
