step,x1_real,x2_real,u_real,x1_ref
121,1.604955,2.9647582,2.6253314,2.0
122,1.9861357,3.520087,2.5586333,2.0
123,2.2838118,3.533015,2.544665,2.0
124,2.3156574,3.5466657,2.504338,2.0
125,2.3749974,3.2685716,2.5184262,2.0
126,2.2355266,3.374777,2.5219822,2.0
127,2.1819453,3.3747199,2.5180223,2.0
128,2.2155755,3.4281619,2.513369,2.0
129,2.3204827,3.437857,2.5021672,2.0
130,2.2417355,3.3374295,2.4945557,2.0
131,2.2951565,3.612026,2.5006618,2.0
132,2.2753685,3.5179794,2.4895241,2.0
133,2.3207724,3.2944434,2.4847934,2.0
134,2.292691,3.4690766,2.4660745,2.0
135,2.3459868,3.482131,2.4721358,2.0
136,2.3385386,3.3674092,2.4416802,2.0
137,2.256302,3.3267293,2.4554553,2.0
138,2.2042425,3.1500623,2.4479358,2.0
139,2.2337353,3.1739159,2.424254,2.0
140,2.1985931,3.2281244,2.4119444,2.0
141,2.1693082,3.3449254,2.4360409,2.0
142,2.1611953,3.2592344,2.4036784,2.0
143,2.1719854,3.208358,2.3846586,2.0
144,2.240615,3.306051,2.375303,2.0
145,2.2189353,3.1875756,2.3433895,2.0
146,2.151658,3.2065752,2.3370671,2.0
147,2.153831,3.2269852,2.3542445,2.0
148,2.1619272,3.2767344,2.3210785,2.0
149,2.2376404,3.2267408,2.2690141,2.0
150,2.13247,3.0876489,2.2994494,2.0
151,2.041153,3.1978571,2.2916389,2.0
152,2.0488768,2.9807825,2.2630877,2.0
153,2.0008345,3.1896415,2.2400115,2.0
154,2.0816681,2.8758094,2.2212746,2.0
155,2.0046217,2.8956606,2.2021654,2.0
156,1.9791023,2.8904338,2.1703613,2.0
157,2.00694,3.134379,2.1812809,2.0
158,2.0959182,3.222993,2.1400003,2.0
159,2.1607826,2.8725684,2.1441693,2.0
160,2.0824013,3.018648,2.1314619,2.0
161,2.0534253,2.9253907,2.1161692,2.0
162,1.9187962,2.8962686,2.0993633,2.0
163,1.7915034,2.6730714,2.0755424,2.0
164,1.8247641,2.6746619,2.0837784,2.0
165,1.9305842,2.9305973,2.0391166,2.0
166,1.9507775,2.8640733,2.0272818,2.0
167,1.9012048,2.885599,2.0178678,2.0
168,1.7669647,2.8392808,2.0165658,2.0
169,1.8777604,2.8615525,2.0057862,2.0
170,1.8097643,2.6748998,1.9826876,2.0
171,1.8565745,2.639739,2.0075767,2.0
172,1.9150465,2.6878343,1.9914637,2.0
173,1.853792,2.8236496,2.0171583,2.0
174,1.7894856,2.6937823,2.0140977,2.0
175,1.8488028,2.7250543,2.0032685,2.0
176,1.8336449,2.6289551,2.0024922,2.0
177,1.8596334,2.5854568,2.0087829,2.0
178,1.8095934,2.8282964,2.0145378,2.0
179,1.8758062,2.9111838,2.0115418,2.0
